Age,Frequency
0,0
1,0
2,0
3,2
4,4
5,21
6,22
7,42
8,60
9,15
10,52
11,123
12,48
13,21
14,21
15,10
16,3
17,5
18,10
19,8
20,5
21,4
22,8
23,3
24,3
25,3
26,1
27,3
28,0
29,1
30,0
31,2
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
